ticker,date,universe_variant,mom_12_1,mom_pct,legup_low_date,legup_high_date,legup_duration_days,legup_gain_pct,pre_legup_return,cons_start_date,cons_end_date,cons_duration_days,cons_max_drop_pct,cons_exception_days,cons_low_trend_slope,ma_touches_pct_in_cons,breakout_volume_ratio,breakout_range_pct,higher_low_count,range_contraction_ratio,pct_closes_above_20ma_in_cons,dist_52w_high_pct,close,adv_20
LVS,2010-10-04,loose,0.6228471048633202,0.981000633312223,2010-07-02,2010-09-13,49,0.5136637332098194,-0.09739991745769705,2010-09-13,2010-10-01,15,0.041309669522643866,0,0.008273319703552266,0.5333333333333333,1.5117650070843924,0.04761904761904761,1,1.683542491538246,1.0,0.0,36.44,858536256.3135
NBIX,2013-08-21,strict,0.6188351475953939,0.9500850822461713,2013-05-02,2013-07-16,51,0.3724770642201835,0.046622264509990505,2013-07-16,2013-08-20,26,0.09291443850267384,0,0.0008105460715754819,0.9615384615384616,2.337734346370899,0.035492297387809756,1,0.7316649256455113,0.6923076923076923,0.0,14.98,7326253.7265
EGY,2014-09-17,loose,0.4750739328021478,0.958904109589041,2014-06-02,2014-08-25,59,0.5373608903020668,-0.018126888217522674,2014-08-25,2014-09-16,16,0.12719751809720792,0,-0.00456123504210371,0.6875,1.9076088528110713,0.059275521405049304,0,1.414676644645656,0.75,0.00743099787685778,9.35,9382944.816
GWRE,2016-06-01,strict,0.19698150520463936,0.9047136340598074,2016-02-11,2016-04-28,53,0.36724738675958196,-0.22210489264343536,2016-04-28,2016-05-31,23,0.08171933401291204,0,0.0019695214150738695,0.9565217391304348,3.909871762725156,0.04469606674612634,2,0.9949099877555656,0.5652173913043478,0.02294022617124397,60.48,15537068.245499998
NGVT,2017-11-28,loose,0.315868938034583,0.8203928905519177,2017-08-17,2017-11-06,56,0.36347326874775737,-0.03536379018612527,2017-11-06,2017-11-27,15,0.05789473684210534,0,0.0032696790052053146,0.9333333333333333,1.5021436334570217,0.02650130548302855,1,0.9106140389904454,1.0,0.0,78.02,16468152.005
TDOC,2020-07-30,strict,1.0284044774644825,0.9805496828752642,2020-04-14,2020-07-09,60,0.45817708002288166,0.5904447425446291,2020-07-09,2020-07-29,15,0.11365865353180912,0,-0.0008002916160621639,0.8666666666666667,2.3310811375708056,0.13448829305135956,1,0.7220193611782432,0.7333333333333333,0.0,237.07,370307219.516
QTWO,2020-12-18,loose,0.31836217698709046,0.8361934477379095,2020-09-11,2020-11-23,51,0.3652813448517395,0.10302421884803624,2020-11-23,2020-12-17,18,0.05749038050448911,0,0.003014181944688949,0.6111111111111112,1.5684841868140322,0.030996429730607008,0,1.0243030195200253,1.0,0.0,123.95,53686399.717
ANET,2024-03-18,strict,0.4935891625668754,0.9067446662078459,2023-11-16,2024-02-12,58,0.37205813408345056,0.1259548016646473,2024-02-12,2024-03-15,24,0.13524226064375044,0,0.0034326468221565357,0.8333333333333334,1.5766691760508025,0.03064586948054244,1,0.8678116656062698,0.625,0.0,72.33,676144801.768
PPTA,2025-01-06,strict,1.196892583891427,0.9826756496631376,2024-09-18,2024-12-09,57,0.5379229871645274,0.3882812499999999,2024-12-09,2025-01-03,18,0.2192716236722307,0,-0.007457693623731737,0.6111111111111112,2.560497680102725,0.0863735408560311,0,1.0407625409218353,0.6111111111111112,0.002343750000000089,12.77,11188669.4585
ATYR,2025-07-23,strict,1.1107336492004547,0.9875389408099688,2025-04-04,2025-06-10,45,1.2824427480916032,-0.2827763496143959,2025-06-10,2025-07-22,29,0.20066889632107024,0,0.002725917261149644,0.5862068965517241,4.443801480735422,0.21922428330522764,3,0.9907281683778645,0.7931034482758621,0.0,6.61,23337384.915
